1929 or 1989?	1929年还是1989年?	1929年还是1989年?
The consequences of 1989 ended up being less enduring than many observers, including me, would have assumed. We can only hope that, in the end, the consequences of 2009 similarly prove to be far less dramatic than we now – intuitively and in our historical reflexes – feel them to be.	1989年革命所带来的成果，最后没有包括我在内许多观察家所想象的那么持久。我们只能希望2009年的危机同样地最后被证明是远远低于我们现在以直觉和历史回顾的方式所感觉到的那么剧烈。	1989年的后果不如包括我在内的许多观察家所想象的那样持久。 我们只能希望,最终,2009年的后果也远不如我们现在想象的那么戏剧化 — — 直觉和历史反射。
What Failed in 2008?	2008年败在何处？	2008年的失败是什么?
You actually have to implement the solution – and be willing to change course if it turns out that you did not know quite as much as you thought. That is the message of two recent books that, together, tell you everything you need to know about the 2008 financial crisis: what caused it, what can be done to prevent it from recurring, and why those things have yet to be done.	伯克利—要解决问题，光知道做什么是不够的。你实际上必须实施解决办法——并且在事实证明你知道的并不如你认为的那样多时，你得愿意改变办法。这就是两本新书一起告诉你的信息。这两本新书讲述了你需要知道的关于2008年金融危机的一切：什么引起了金融危机，可以做什么防止它再次发生，以及为何这些事情还没有人去做。	事实上,你必须实施解决方案 — — 并愿意改变方向,如果结果证明你并不像你想象的那样了解。 这是最近两本书的信息,它们共同告诉了大家2008年金融危机需要知道的一切:是什么原因,可以做些什么来防止危机再次发生,以及为什么这些事情还有待完成。
The first book is The Shifts and the Shocks, by the conservative British journalist Martin Wolf, who begins by cataloguing the major shifts that set the stage for the economic disaster that continues to shape the world today. His starting point is the huge rise in wealth among the world’s richest 0.1% and 0.01% and the consequent pressure for people, governments, and companies to take on increasingly unsustainable levels of debt.	第一本书是《变化和冲击》（The Shifts and the Shocks），作者是保守派英国记者马丁·沃尔夫（Martin Wolf）。在书的开头，他对酝酿了至今仍在影响世界的这场经济灾难的重要变化做了归纳编目。首先，他指出世界最富有的0.1%和0.01%人群财富剧增，这给人民、政府和公司造成了日益不可持续的高负债的压力。	第一本书是保守的英国记者马丁·沃尔夫(Martin Wolf)的《转变与冲击 》 , 他首先罗列了为继续塑造当今世界的经济灾难奠定基础的重大转变。 其起点是全世界最富有的0.1%和0.01%的财富的大幅增长,以及由此产生的人民、政府和公司承受越来越不可持续的债务的压力。
Meanwhile, policymakers were lulled into complacency by the widespread acceptance of economic theories such as the “efficient-market hypothesis,” which assumes that investors act rationally and use all available information when making their decisions. As a result, markets were deregulated, making it easier to trade assets that were perceived to be safe, but were in fact not.	与此同时，决策者因为“有效市场假说”等经济理论的广泛接受而志得意满，有效市场假说认为投资者的行为是理性的，在作出决策时会利用一切可获得的信心。结果，市场监管被放松，交易被认为安全但实际并不安全的资产变得更加容易。结果，系统性风险悄然酝酿，并且超过了央行官员最大胆的想象。	与此同时,决策者对“高效市场假设 ” 等经济理论被广泛接受感到自满。 “高效市场假设 ” 假定投资者在决策时理性行事并利用所有可用信息。 结果是,市场放松了监管,使得交易被视为安全但事实上并非如此的资产更加容易。
They set inflation targets at around 2% – leaving little room for maneuver when the water got choppy. And, most audaciously of all, the European Union introduced the euro as a common currency.	未受检验并且最终错误的假设形成了一个只能用狂妄自大形容的决策环境。官员低估了尾部风险。它们将通胀目标设定在2%左右——这意味着当波涛汹涌时他们根本没有多少施展空间。此外，最大胆的动作要数欧盟引入欧元作为共同货币。	最大胆的是,欧盟引入了欧元作为共同货币。 央行将欧元作为共同货币。 央行的通胀目标设定在2%左右 — — 水泡急促时几乎没有操作空间。 最大胆的是,欧盟引入了欧元作为共同货币。
Indeed, wrongheaded policymaking continued long after the crisis began. Politicians responded to worsening economic conditions by hewing as closely as possible to failed prescriptions, making sure to do no more than absolutely necessary to address the biggest economic disaster since the Great Depression.	事实上，方向错误的决策在危机开始后仍然能维持了很长时间。政客对恶化的经济条件的反应是坚定实施错误的药方，对于这场大萧条以来最严重的经济灾难，他们除了绝对需要做的事情意外什么都不做。	事实上,在危机开始很久之后,错误决策依然继续。 政客们对不断恶化的经济状况做出了反应,尽可能接近失败的处方,确保解决大萧条以来最大的经济灾难的绝对必要措施不超过绝对必要。
In the short term, he suggests that countries with reserve currencies spend more (especially to finance public-sector investments) and issue more debt. Their central banks, he argues, should raise inflation targets to 3% or even 4% per year.	沃尔夫给抵御这场危机开出的药方简单、明智并且无懈可击。在短期，他建议拥有储备货币的国家增加支出（特别是公共部门投资融资）、发行更多债务。他指出，这些国家的央行应该将通胀目标提高到每年3%甚至4%。	短期而言,他建议持有储备货币的国家增加支出(特别是为公共部门投资提供资金 ) , 并发行更多债务。 他认为,它们的央行应该将通胀指标提高到每年3%甚至4%。
Over the medium term, according to Wolf, countries need to put in place regulatory measures that lower debt levels and discourage overleveraging. The eurozone, too, must resolve its internal contradictions, either by disbanding or by introducing “a minimum set of institutions and policies” that allow the monetary union to function properly.	在中期，沃尔夫认为各国需要实施监管措施降低债务水平、阻止过度举债。欧元区也必须解决其内部矛盾，要么通过解散欧元区实现，要么通过引入能令货币联盟正常运行的“最小限度的机构和政策组合”实现。沃尔夫的长期解决方案包括遏制不平等、“更加全球化的监管”、更大程度的“个体国家自己决定反应方式的自由”以及更少受到自由市场思想束缚的经济分析。一开始正是自由市场思想让我们陷入了危机。	沃尔夫认为,从中期来看,各国必须制定降低债务水平和防止过度杠杆化的监管措施。 欧元区也必须解决内部矛盾,要么解散,要么引入“一套最起码的制度和政策 ” , 使货币联盟能够正常运作。
And yet, as recommendable as Wolf’s proposals may be, little has been done to implement them. The reasons why are found in the second book: Hall of Mirrors, by&nbsp;my friend, teacher, and patron, Barry Eichengreen.	但是，尽管沃尔夫的方案值得推荐，但几乎没有任何实施。原因可以从第二本书中找到：由我的朋友、老师和“老板”巴里·艾肯格林（Barry Eichengreen）所著的《镜厅》（Hall of Mirrors）。	然而,尽管沃尔夫的建议可能值得推荐,但落实这些建议的工作却很少。 第二本书《镜厅 》 ( Hall of Mirrors, by & nbsp);我的朋友、教师和赞助人巴里·艾亨格林(Barry Eichengreen ) , 其原因就在第二本书中。
Eichengreen traces our tepid response to the crisis to the triumph of monetarist economists, the disciples of Milton Friedman, over their Keynesian and Minskyite peers – at least when it comes to interpretations of the causes and consequences of the Great Depression. When the 2008 financial crisis erupted, policymakers tried to apply Friedman’s proposed solutions to the Great Depression.	艾肯格林认为，我们对这场危机反应不温不火，原因要追溯到作为弗里德曼（MiltonFriedman）门徒的货币经济学家对凯恩斯主义和明斯基（MInskyite）主义同行的胜利——至少在解释大萧条的原因和后果方面是如此。2008年金融危机爆发时，决策者试图使用弗里德曼提出的大萧条方案。不幸的是，事实证明这是错的，直言不讳地说，货币主义者对大萧条的解释在众多方面都是错误的，并且非常不完整。	一场大萧条 — — 至少在解释大萧条的原因和后果方面是如此。 2008年金融危机爆发时,决策者试图将弗里德曼提出的解决方案应用于大萧条。
The result is today’s stagnant economy, marked by anemic growth that threatens to become the new normal. The United States and Europe are on track to have thrown away 10% of their potential wealth, while the failure to strengthen financial-sector regulation has left the world economy exposed to the risk of another major crisis.	由此产生的政策足以阻止2008年后的衰退演变为完全的萧条；但这一局部成功的代价也是巨大的，它让政客宣布危机已经被克服，应该采取紧缩并专注于结构改革。结果就是现在的经济停滞，其特征是增长无力并且随时可能成为新常态。美国和欧洲损失了10%的潜在财富，而没有强化金融部门监管让世界经济随时可能迎来新一场大危机。	其结果是今天的停滞经济,其特点是缓慢增长,有可能成为新的常态。 美国和欧洲正按计划抛弃了10%的潜在财富,而未能加强金融部门监管使世界经济面临另一大危机的风险。
Wolf and Eichengreen would agree that the main shortcomings that led to the 2008 financial crisis – and that continue to underpin our inadequate response to it – are intellectual. Indeed, the only true lesson of the crisis so far seems to be that its lessons will never truly be learned.	沃尔夫和艾肯格林会认为，导致2008年金融危机的主要缺陷——以及继续破坏我们对危机的不充分反应的主要缺陷——是知识缺陷。事实上，到目前为止，危机的唯一真正教训是它的教训从未被真正汲取。	导致2008年金融危机的主要缺陷 — — 并且继续支撑着我们对危机反应不足的缺陷 — — 是知识性的。 确实,到目前为止,危机的唯一真正教训似乎是永远无法真正吸取教训。
9/11 and the New Authoritarianism	9/11和新独裁专制主义	9/11和新专制主义
It has entered the history books as the beginning of something new, a new era perhaps, but in any case a time of change. The terrorist bombings in Madrid and London and elsewhere will also be remembered; but it is “9/11” that has become the catchphrase, almost like “August 1914.”	袭击纽约双子塔和华盛顿五角大楼五年后，“9/11”已经不再仅仅是一个日期了。它已经作为一个变革时代的某种开端或者是一个新的时代的开始而载入史册。恐怖分子在马德里和伦敦以及其他地方制造的爆炸事件也将被人铭记；但是，只有“9/11”几乎像“1914年8月”那样成为了流行语。	马德里、伦敦和其他地方的恐怖爆炸事件也将会被人们记住;但“9/11”已成为流行口号,几乎就像“1914年8月 ” 。
During the heyday of Irish terrorism in the UK, successive British governments went out of their way not to concede to the IRA the notion that a war was being waged. “War” would have meant acceptance of the terrorists as legitimate enemies, in a sense as equals in a bloody contest for which there are accepted rules of engagement.	但是，那果真是一场开于2001年9月11日的战争吗？并不是所有人都赞同这一美国式的观点。当爱尔兰恐怖主义在英国猖獗之际，各届英国政府都竭力不屈从于爱尔兰共和军的观点，即正在进行一场战争。“战争”将会意味着把恐怖分子接受为合法的敌人，其含义与具有认同的交战规则的一场血腥战争的对等体相同。	在爱尔兰恐怖主义在英国的盛大时期,英国历届政府都不向爱尔兰共和军承认发动战争的概念。 “战争”意味着接受恐怖分子为合法敌人,在有公认的接战规则的血腥竞赛中,在某种意义上是平等的。
This is neither a correct description nor a useful terminology for terrorist acts, which are more correctly described as criminal. By calling them war – and naming an opponent, usually al-Qaeda and its leader, Osama bin Laden – the United States government has justified domestic changes that, before the 9/11 attacks, would have been unacceptable in any free country.	这既非对恐怖主义行为的正确描述，也不是有用的词汇。恐怖分子应该更为准确地被称为罪犯。但是通过称之为战争、并把基地组织及其领导人本拉登点名为对手，美国政府给某些国内变化提供了理由。这些国内变化在9/11袭击之前是不会被任何自由国家所接受的。	这并不是对恐怖行为的正确描述,也不是一个有用的术语。 恐怖行动更准确地被描述为犯罪。 美国政府称它们为战争 — — 并点出对手,通常是基地组织及其领导人乌萨马·本·拉丹 — — 证明国内变革是有道理的,在9/11袭击之前,任何自由国家都无法接受。
Though some of the changes simply involved administrative regulations, the Patriot Act’s overall effect was to erode the great pillars of liberty, such as habeas corpus , the right to recourse to an independent court whenever the state deprives an individual of his freedom. From an early date, the prison camp at Guantánamo Bay in Cuba became the symbol of something unheard of: the arrest without trial of “illegal combatants” who are deprived of all human rights.	这些变化的大多数都体现在所谓的“美国爱国者法案”上。尽管某些变化仅仅涉及到行政规定，但是，爱国者法案的整体效果却是侵蚀自由的支柱，例如人身保护，也就是无论何时国家剥夺个人自由，均有向独立法院寻求救助的权利。很久以来，古巴关塔那摩湾的战俘营成为了闻所未闻的象征，也就是不经审判逮捕被剥夺所有人权的“非法战斗人员”。	尽管其中一些变革只是涉及行政条例,但《爱国者法案》的总体效果是侵蚀了自由的伟大支柱,比如人身保护令,当国家剥夺个人自由时,有权诉诸独立法院。 从早期起,古巴关塔那摩湾的监狱营就成了前所未有的标志:不经审判就逮捕被剥夺所有人权的“非法战斗人员 ” 。
For everyone else, a kind of state of emergency was proclaimed that has allowed state interference in essential civil rights. Controls at borders have become an ordeal for many, and police persecution now burdens quite a few.	如今，世界并不知道在多少地方还有多少更多的遭受非人待遇的人。对于其他所有人而言，好像是宣布了某种紧急状态，允许国家干涉基本民权。边境检查已经成为许多人的煎熬，警察起诉给很多人带来了负担。一种恐惧的气候让任何看似可疑或者行为可疑的人、特别是穆斯林生活困难。	对其他所有人来说,宣布了一种紧急状态,允许国家干涉基本的公民权利。 边境控制已经成为许多人的难关,警察迫害现在负担相当多。
On the contrary, by and large it was the critics, not the supporters, of these measures who found themselves in trouble. In Britain, where Prime Minister Tony Blair supported the US attitude entirely, the government introduced similar measures and even offered a new theory.	当采取这些限制自由的措施的时候并没有遇到很多公众的反对。相反，总体而言，那些措施的批评者，而非支持者发现遇到了麻烦。在英国，布莱尔首相全力支持美国的态度，政府引入了类似的措施，甚至提出了一个新的理论。布莱尔第一个主张安全是第一自由。换言之，自由并非是个人确定自身生活的权利，而是国家以安全的名义限制个人自由的权利。只有国家才能确定安全的含义。这就是一个新的独裁主义的开始。	英国首相布莱尔(托尼·布莱尔 ) , 英国首相布莱尔(托尼·布莱尔 ) , 英国首相布莱尔(托尼·布莱尔 ) , 英国政府引入了类似的措施,甚至提出了一个新理论。 英国首相布莱尔(托尼·布莱尔 ) , 英国首相布莱尔(托尼·布莱尔 ) , 英国首相布莱尔(托尼·布莱尔 ) 。 英国首相布莱尔(托尼·布莱尔 ) , 英国首相布莱尔(托尼·布莱尔 ) , 英国首相布莱尔(托尼·布莱尔 ) 。 英国首相(托尼·布莱尔 ) , 英国首相布莱尔(托尼·布莱尔 ) 。
There is even a debate – and indeed some evidence – concerning the question of whether involvement in the “war against terrorism” has actually increased the threat of terrorist acts. Germans certainly use this argument to stay out of the action wherever possible.	这一问题存在于所有受到恐怖主义威胁的国家，尽管在许多国家中这已经变得非常具体。在大多数欧洲大陆国家，”9/11“已经成为一个美国人的日子。甚至还有人辩论，而且确实还有证据表明，参与到“反恐战争”之中是否实际上增加了恐怖主义行动的威胁。德国人当然在可能的情况下利用这一论点置身度外。	参与“反恐战争”是否真的增加了恐怖行动的威胁,甚至还存在争论,甚至有一些证据。 德国人当然会利用这一论点尽可能不介入行动。
This stance, however, has not prevented the spread of something for which a German word is used in other languages, too: Angst . A diffuse anxiety is gaining ground.	但是，这一立场并没有防止德语中所说的忧虑的扩散。一种弥散性的焦虑正在扩大。人们感到不安，特别是在旅行的时候。任何一个火车事故或者飞机坠毁现在都首先被怀疑是恐怖主义行为。	但是,这一立场并没有阻止德语也被用于其他语言的某种东西的传播:Angst. 扩散焦虑正在逐渐增加。
While terrorism is fought in the name of democracy, the fight has in fact led to a distinct weakening of democracy, owing to official legislation and popular angst. One of the worrying features of the 9/11 attacks is that it is hard to see their purpose beyond the perpetrators’ resentment of the West and its ways.	这样，9/11已经直接或间接地意味着一个巨大的震惊事件，在心理上以及对于政治体系而言都是如此。尽管以民主的名义与恐怖主义作战，实际上这一斗争由于官方的立法以及民众的忧虑而已经导致对民主明显的削弱。9/11攻击的令人担忧的特性之一就是除了罪犯们仇恨西方及其生活方式之外，很难看到他们的目的。但是西方社会的主要特征，即民主和法治却已经在捍卫者手中遭到了严重的损害，其程度超过远远超过其攻击者。	这场斗争虽然以民主的名义进行,但由于官方立法和民众的愤怒,事实上已经导致民主明显削弱。 9/11袭击的一个令人担忧的特征是,除了肇事者对西方及其方式的不满之外,很难看到他们的目的。
First, we must make certain that the relevant legislation to meet the challenge of terrorism is strictly temporary. Some of today’s restrictions on habeas corpus and civil liberties have sunset clauses restricting their validity; all such rules should be re-examined by parliaments regularly.	最重要的是，需要采取两个步骤来在受到9/11后果影响的民主国家恢复对自由的信心。首先，我们必须确保应对恐怖主义挑战的相关立法是严格具有时限的。当今的某些对人身自由以及民权的限制含有限制其时效的废止条款。所有这些法规都应当定期接受议会的重新审查。	首先,我们必须确保应对恐怖主义挑战的相关立法严格是临时性的。 当今对人身保护令和公民自由的一些限制有限制其有效性的日落条款;所有这类规则应该由议会定期重新审查。
The terrorists with whom we are currently at “war” cannot win, because their dark vision will never gain broad popular legitimacy. That is all the more reason for democrats to stand tall in defending our values – first and foremost by acting in accordance with them.	第二，也是更为重要的是，我们的领导人应当力求平息、而不是利用公众的焦虑。我们目前“交战”的恐怖分子无法获胜，因为他们的黑暗的观点永远不会赢得广泛的公众合法认可。这也就是民主派人士应当身先士卒、首要地以遵循我们的价值观的方式来捍卫它们的原因。	与我们正处在“战争”中的恐怖分子不可能获胜,因为他们的黑暗愿景永远不会获得广泛的民众合法性。 民主人士更有理由站出来捍卫我们的价值观 — — 首先是按照他们的要求行事。
9/11 in Perspective	9·11：十年后的盘点	展望中的911事件
NEW YORK – It was a decade ago that 19 terrorists took control of four planes, flew two into the twin towers of the World Trade Center, hit the Pentagon with a third, and crashed the fourth in a field in Pennsylvania after passengers resisted and made it impossible for the terrorists to complete their malevolent mission. In a matter of hours, more than 3,000 innocent people, mostly Americans, but also people from 115 other countries, had their lives suddenly and violently taken from them.	纽约——十年前，19名恐怖分子劫持了四架民航客机，其中两架撞上世贸中心双子塔，第三架撞击了五角大楼，第四架在乘客的反抗下无法完成袭击，坠毁于宾夕法尼亚旷野。只不过几个小时，3000多无辜平民被突如其来的暴行夺去了生命，其中大多是美国人，但也有来自其他115个国家的人。	纽约 — — 十年前,19名恐怖分子控制了四架飞机,两架飞机飞入世贸中心双塔,击中了五角大楼的第三个,第四架飞机在宾夕法尼亚州的一个田地坠毁,因为乘客抵抗,使恐怖分子无法完成他们的邪恶使命。 数小时内,超过3,000名无辜者,大多数是美国人,还有来自115个其他国家的人民,被突然暴力夺去了生命。
September 11, 2001, was a terrible tragedy by any measure, but it was not a historical turning point. It did not herald a new era of international relations in which terrorists with a global agenda prevailed, or in which such spectacular terrorist attacks became commonplace.	2001年9月11日，以任何标准看都是一个可怕的惨剧，但它并非一个历史转折点。它并未开启一个由全球恐怖主义主导国际关系的新时代，类似的大规模恐怖袭击也没有变成家常便饭。虽然人们在“全球反恐战争”上投注了大量精力，但是过去10年最重要的进展是信息技术的创新与传播、全球化、伊拉克与阿富汗战争以及中东的政治动荡。	2001年9月11日是一个可怕的悲剧,无论如何,它不是一个历史转折点,它并没有预示国际关系的新时代,在这个时代里,具有全球议程的恐怖分子占上风,或者这种引人注目的恐怖主义袭击成为司空见惯的现象。
As for the future, it is much more likely to be defined by the United States’ need to put its economic house in order; China’s trajectory within and beyond its borders; and the ability of the world’s governments to cooperate on restoring economic growth, stemming the spread of nuclear weapons, and meeting energy and environmental challenges.	未来一个阶段的关键，则是美国整修其经济大厦的努力，中国在国内国际事务中的走向，各国政府在重振经济增长、控制核扩散以及应对能源与环境挑战方面的合作能力。	就未来而言,美国需要调整其经济殿堂,中国在其边界内外的轨迹,世界各国政府合作恢复经济增长、制止核武器扩散以及应对能源和环境挑战的能力,这更可能确定未来。
They can destroy but not create. It is worth noting that the people who went into the streets of Cairo and Damascus calling for change were not shouting the slogans of Al Qaeda or supporting its agenda.	如果把反对恐怖主义当成负责任的政府在世界上的核心要务，这是错误的。恐怖主义仍是边缘角色，它们的吸引力终归是有限的。它们只破坏，不建设。值得注意的是，人们走上开罗和大马士革街头，呼喊的并不是基地组织的口号，也没有对它的纲领表示支持。	值得注意的是,进入开罗和大马士革街头要求变革的人并不是高呼基地组织的口号或支持其议程。
Borders have been made more secure and societies more resilient. International cooperation has increased markedly, in part because governments that cannot agree on many things can agree on the need to cooperate in this area.	此外，种种措施已经成功地令恐怖分子退入守势。情报资源已重新配置，国境线已变得更安全，社会已变得更有弹性。反恐国际合作显著增强，部分是因为，各国政府都觉得需要在这一领域加强合作，尽管它们在其他领域颇有分歧。	已经使边境变得更加安全,社会更具复原力,国际合作显著增加,部分原因是不能就许多事情达成一致的政府可以同意在这一领域开展合作的必要性。
Drones – unmanned aircraft that are remotely steered – have proven to be effective in killing a significant number of terrorists, including many of the most important leaders. Weak governments can be made stronger; governments that tolerate or support terrorism must be held accountable.	军事力量也扮演着某种角色。基地组织丧失了位于阿富汗的巢穴，正式因为向它提供庇护的塔利班政府被推翻。奥萨马·本·拉登最终被美国特种部队找到并击毙。军事无人机在击毙恐怖组织头目的行动中作用非凡。软弱的政府可以得到加强，纵容乃至支持恐怖主义的政府则必须为此负责。	无人驾驶飞行器 — — 遥控无人驾驶飞机 — — 已证明在杀害大量恐怖分子,包括许多最重要的领导人方面是有效的。 软弱的政府可以变得更加强大;容忍或支持恐怖主义的政府必须承担责任。 无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶无人驾驶飞机。
