1929 or 1989?	1929年还是1989年?	1929年或1989年
The consequences of 1989 ended up being less enduring than many observers, including me, would have assumed. We can only hope that, in the end, the consequences of 2009 similarly prove to be far less dramatic than we now – intuitively and in our historical reflexes – feel them to be.	1989年革命所带来的成果，最后没有包括我在内许多观察家所想象的那么持久。我们只能希望2009年的危机同样地最后被证明是远远低于我们现在以直觉和历史回顾的方式所感觉到的那么剧烈。	1989年的后果比包括我在内的许多观察家所假设的要少得多持久化。 我们只能希望,到头来,2009年的后果比我们现在 — — 直觉和历史反射 — — 感觉远不那么戏剧化。
What Failed in 2008?	2008年败在何处？	2008年什么失败
You actually have to implement the solution – and be willing to change course if it turns out that you did not know quite as much as you thought. That is the message of two recent books that, together, tell you everything you need to know about the 2008 financial crisis: what caused it, what can be done to prevent it from recurring, and why those things have yet to be done.	伯克利—要解决问题，光知道做什么是不够的。你实际上必须实施解决办法——并且在事实证明你知道的并不如你认为的那样多时，你得愿意改变办法。这就是两本新书一起告诉你的信息。这两本新书讲述了你需要知道的关于2008年金融危机的一切：什么引起了金融危机，可以做什么防止它再次发生，以及为何这些事情还没有人去做。	实际实施解决方案 — — 并愿意改变方向,如果结果证明你并不像你想的那样多了解。 这是最近两本书的信息,这些书籍一起向大家讲出2008年金融危机需要知道的一切信息:是什么原因,可以做些什么来避免它复发,以及为什么那些事还有待完成。
The first book is The Shifts and the Shocks, by the conservative British journalist Martin Wolf, who begins by cataloguing the major shifts that set the stage for the economic disaster that continues to shape the world today. His starting point is the huge rise in wealth among the world’s richest 0.1% and 0.01% and the consequent pressure for people, governments, and companies to take on increasingly unsustainable levels of debt.	第一本书是《变化和冲击》（The Shifts and the Shocks），作者是保守派英国记者马丁·沃尔夫（Martin Wolf）。在书的开头，他对酝酿了至今仍在影响世界的这场经济灾难的重要变化做了归纳编目。首先，他指出世界最富有的0.1%和0.01%人群财富剧增，这给人民、政府和公司造成了日益不可持续的高负债的压力。	第一本书《移位与震荡 》 , 由保守的英国记者Martin Wolf编写,他首先编程重大移位为继续塑造当今世界的经济灾难搭建平台。 其起始点是世界最富0.1%和0.01%之间的财富大幅增长,并随之对人民、政府和公司施加压力,迫使它们承担日益不可持续的债务水平。
Meanwhile, policymakers were lulled into complacency by the widespread acceptance of economic theories such as the “efficient-market hypothesis,” which assumes that investors act rationally and use all available information when making their decisions. As a result, markets were deregulated, making it easier to trade assets that were perceived to be safe, but were in fact not.	与此同时，决策者因为“有效市场假说”等经济理论的广泛接受而志得意满，有效市场假说认为投资者的行为是理性的，在作出决策时会利用一切可获得的信心。结果，市场监管被放松，交易被认为安全但实际并不安全的资产变得更加容易。结果，系统性风险悄然酝酿，并且超过了央行官员最大胆的想象。	同时,决策者对经济理论(如“高效市场假设 ” ) 被广泛接受感到自满。 经济理论假设假设投资者行为合理并使用所有可用信息决策。 结果市场放松管制,更容易交易被视为安全但事实上非安全的资产。
They set inflation targets at around 2% – leaving little room for maneuver when the water got choppy. And, most audaciously of all, the European Union introduced the euro as a common currency.	未受检验并且最终错误的假设形成了一个只能用狂妄自大形容的决策环境。官员低估了尾部风险。它们将通胀目标设定在2%左右——这意味着当波涛汹涌时他们根本没有多少施展空间。此外，最大胆的动作要数欧盟引入欧元作为共同货币。	发通胀目标约2 % — —当水急转作乐时留有小空间。 最大胆的是,欧盟引入欧元为公共货币
Indeed, wrongheaded policymaking continued long after the crisis began. Politicians responded to worsening economic conditions by hewing as closely as possible to failed prescriptions, making sure to do no more than absolutely necessary to address the biggest economic disaster since the Great Depression.	事实上，方向错误的决策在危机开始后仍然能维持了很长时间。政客对恶化的经济条件的反应是坚定实施错误的药方，对于这场大萧条以来最严重的经济灾难，他们除了绝对需要做的事情意外什么都不做。	诚然,错误决策在危机开始后很长一段时间还继续发生。 政客对不断恶化的经济状况做出响应,尽可能近距离向失效处方倾斜,确保解决大萧条以来最大经济灾难的绝对必要程度不变。
In the short term, he suggests that countries with reserve currencies spend more (especially to finance public-sector investments) and issue more debt. Their central banks, he argues, should raise inflation targets to 3% or even 4% per year.	沃尔夫给抵御这场危机开出的药方简单、明智并且无懈可击。在短期，他建议拥有储备货币的国家增加支出（特别是公共部门投资融资）、发行更多债务。他指出，这些国家的央行应该将通胀目标提高到每年3%甚至4%。	短期内,他建议持有储备货币的国家多花点钱(特别是为公共部门投资融资 ) 并发行更多债务 。 他认为,它们的央行应该把通胀目标提高到每年3 % 或 4 % 。
Over the medium term, according to Wolf, countries need to put in place regulatory measures that lower debt levels and discourage overleveraging. The eurozone, too, must resolve its internal contradictions, either by disbanding or by introducing “a minimum set of institutions and policies” that allow the monetary union to function properly.	在中期，沃尔夫认为各国需要实施监管措施降低债务水平、阻止过度举债。欧元区也必须解决其内部矛盾，要么通过解散欧元区实现，要么通过引入能令货币联盟正常运行的“最小限度的机构和政策组合”实现。沃尔夫的长期解决方案包括遏制不平等、“更加全球化的监管”、更大程度的“个体国家自己决定反应方式的自由”以及更少受到自由市场思想束缚的经济分析。一开始正是自由市场思想让我们陷入了危机。	沃尔夫认为,从中期看,各国需要制定调控性措施降低债务水平并抑制过度杠杆化。 欧元区也必须解决内部矛盾,要么解散要么引入允许货币联盟正常运行的“最小体系和政策集 ” 。
And yet, as recommendable as Wolf’s proposals may be, little has been done to implement them. The reasons why are found in the second book: Hall of Mirrors, by&nbsp;my friend, teacher, and patron, Barry Eichengreen.	但是，尽管沃尔夫的方案值得推荐，但几乎没有任何实施。原因可以从第二本书中找到：由我的朋友、老师和“老板”巴里·艾肯格林（Barry Eichengreen）所著的《镜厅》（Hall of Mirrors）。	照Wolf的建议似可推荐,但几乎没有实施之道。 原因见第二书:Meriess大厅,bssb;我的朋友、老师和保护者Barry Eichengreen
Eichengreen traces our tepid response to the crisis to the triumph of monetarist economists, the disciples of Milton Friedman, over their Keynesian and Minskyite peers – at least when it comes to interpretations of the causes and consequences of the Great Depression. When the 2008 financial crisis erupted, policymakers tried to apply Friedman’s proposed solutions to the Great Depression.	艾肯格林认为，我们对这场危机反应不温不火，原因要追溯到作为弗里德曼（MiltonFriedman）门徒的货币经济学家对凯恩斯主义和明斯基（MInskyite）主义同行的胜利——至少在解释大萧条的原因和后果方面是如此。2008年金融危机爆发时，决策者试图使用弗里德曼提出的大萧条方案。不幸的是，事实证明这是错的，直言不讳地说，货币主义者对大萧条的解释在众多方面都是错误的，并且非常不完整。	Eichengreen将我们对危机的微弱响应追溯到Monetaist经济学家、Milton Friedman门徒的胜利 — — 至少在解释大萧条的原因和后果方面是如此。 2008年金融危机爆发时,决策者试图应用Friedman提议的大萧条解决方案。
The result is today’s stagnant economy, marked by anemic growth that threatens to become the new normal. The United States and Europe are on track to have thrown away 10% of their potential wealth, while the failure to strengthen financial-sector regulation has left the world economy exposed to the risk of another major crisis.	由此产生的政策足以阻止2008年后的衰退演变为完全的萧条；但这一局部成功的代价也是巨大的，它让政客宣布危机已经被克服，应该采取紧缩并专注于结构改革。结果就是现在的经济停滞，其特征是增长无力并且随时可能成为新常态。美国和欧洲损失了10%的潜在财富，而没有强化金融部门监管让世界经济随时可能迎来新一场大危机。	其结果是今日经济停滞,其特征为退步增长有可能成为新常态。 美国和欧洲正按部就班地抛去10%的潜在财富,而未能加强金融行业监管则使世界经济面临另一大危机的风险。
Wolf and Eichengreen would agree that the main shortcomings that led to the 2008 financial crisis – and that continue to underpin our inadequate response to it – are intellectual. Indeed, the only true lesson of the crisis so far seems to be that its lessons will never truly be learned.	沃尔夫和艾肯格林会认为，导致2008年金融危机的主要缺陷——以及继续破坏我们对危机的不充分反应的主要缺陷——是知识缺陷。事实上，到目前为止，危机的唯一真正教训是它的教训从未被真正汲取。	Wolf和Eichengreen都同意导致2008年金融危机的主要缺陷 — — 并持续支撑着我们应对不力 — — 知识型问题。 事实上,到目前为止危机唯一真正的教训似乎是永远无法真正吸取教训。
9/11 and the New Authoritarianism	9/11和新独裁专制主义	911和新专制
It has entered the history books as the beginning of something new, a new era perhaps, but in any case a time of change. The terrorist bombings in Madrid and London and elsewhere will also be remembered; but it is “9/11” that has become the catchphrase, almost like “August 1914.”	袭击纽约双子塔和华盛顿五角大楼五年后，“9/11”已经不再仅仅是一个日期了。它已经作为一个变革时代的某种开端或者是一个新的时代的开始而载入史册。恐怖分子在马德里和伦敦以及其他地方制造的爆炸事件也将被人铭记；但是，只有“9/11”几乎像“1914年8月”那样成为了流行语。	新时代或新时代的起始点历史书籍中也有历史书籍,但无论如何变化时间也会记住。 马德里和伦敦等地的恐怖爆炸事件也将被人们记住;但“9/11”化为套句,几乎像1914年8月一样。
During the heyday of Irish terrorism in the UK, successive British governments went out of their way not to concede to the IRA the notion that a war was being waged. “War” would have meant acceptance of the terrorists as legitimate enemies, in a sense as equals in a bloody contest for which there are accepted rules of engagement.	但是，那果真是一场开于2001年9月11日的战争吗？并不是所有人都赞同这一美国式的观点。当爱尔兰恐怖主义在英国猖獗之际，各届英国政府都竭力不屈从于爱尔兰共和军的观点，即正在进行一场战争。“战争”将会意味着把恐怖分子接受为合法的敌人，其含义与具有认同的交战规则的一场血腥战争的对等体相同。	英国爱尔兰恐怖主义高盛期间,英国历届政府都向爱尔兰共和军表示不承认战争正在展开的理念。 “战争”意味着接受恐怖分子为合法敌人,从某种意义上讲,在血腥竞赛中等同接受接战规则
This is neither a correct description nor a useful terminology for terrorist acts, which are more correctly described as criminal. By calling them war – and naming an opponent, usually al-Qaeda and its leader, Osama bin Laden – the United States government has justified domestic changes that, before the 9/11 attacks, would have been unacceptable in any free country.	这既非对恐怖主义行为的正确描述，也不是有用的词汇。恐怖分子应该更为准确地被称为罪犯。但是通过称之为战争、并把基地组织及其领导人本拉登点名为对手，美国政府给某些国内变化提供了理由。这些国内变化在9/11袭击之前是不会被任何自由国家所接受的。	这并不是正确描述或实用术语描述恐怖行为 — — 更正确描述为犯罪 — — 并点名反对者,通常是基地组织及其头目Osama bin Laden — — 美国政府证明国内变换在911攻击前对任何自由国家都不可接受。
Though some of the changes simply involved administrative regulations, the Patriot Act’s overall effect was to erode the great pillars of liberty, such as habeas corpus , the right to recourse to an independent court whenever the state deprives an individual of his freedom. From an early date, the prison camp at Guantánamo Bay in Cuba became the symbol of something unheard of: the arrest without trial of “illegal combatants” who are deprived of all human rights.	这些变化的大多数都体现在所谓的“美国爱国者法案”上。尽管某些变化仅仅涉及到行政规定，但是，爱国者法案的整体效果却是侵蚀自由的支柱，例如人身保护，也就是无论何时国家剥夺个人自由，均有向独立法院寻求救助的权利。很久以来，古巴关塔那摩湾的战俘营成为了闻所未闻的象征，也就是不经审判逮捕被剥夺所有人权的“非法战斗人员”。	尽管有些修改仅仅涉及到行政规范,但爱国者法的总体效果是侵蚀自由的伟大柱石,如人身保护令,当国家剥夺个人自由时向独立法院求助的权利。 从早期起,古巴关塔那摩湾的监狱营就成为前所未闻之事的符号:不经审判逮捕被剥夺所有人权的“非法战斗人员 ” 。
For everyone else, a kind of state of emergency was proclaimed that has allowed state interference in essential civil rights. Controls at borders have become an ordeal for many, and police persecution now burdens quite a few.	如今，世界并不知道在多少地方还有多少更多的遭受非人待遇的人。对于其他所有人而言，好像是宣布了某种紧急状态，允许国家干涉基本民权。边境检查已经成为许多人的煎熬，警察起诉给很多人带来了负担。一种恐惧的气候让任何看似可疑或者行为可疑的人、特别是穆斯林生活困难。	对其他人来说,宣布了一种紧急状态允许国家干预基本民权。 边界控制对许多人来说已成为一场磨难,而警察迫害现在负担相当多。
On the contrary, by and large it was the critics, not the supporters, of these measures who found themselves in trouble. In Britain, where Prime Minister Tony Blair supported the US attitude entirely, the government introduced similar measures and even offered a new theory.	当采取这些限制自由的措施的时候并没有遇到很多公众的反对。相反，总体而言，那些措施的批评者，而非支持者发现遇到了麻烦。在英国，布莱尔首相全力支持美国的态度，政府引入了类似的措施，甚至提出了一个新的理论。布莱尔第一个主张安全是第一自由。换言之，自由并非是个人确定自身生活的权利，而是国家以安全的名义限制个人自由的权利。只有国家才能确定安全的含义。这就是一个新的独裁主义的开始。	反之,归根结底正是批评者而不是支持者发现自己有麻烦。 英国首相布莱尔完全支持美国的态度,政府引入类似措施甚至提供新理论
There is even a debate – and indeed some evidence – concerning the question of whether involvement in the “war against terrorism” has actually increased the threat of terrorist acts. Germans certainly use this argument to stay out of the action wherever possible.	这一问题存在于所有受到恐怖主义威胁的国家，尽管在许多国家中这已经变得非常具体。在大多数欧洲大陆国家，”9/11“已经成为一个美国人的日子。甚至还有人辩论，而且确实还有证据表明，参与到“反恐战争”之中是否实际上增加了恐怖主义行动的威胁。德国人当然在可能的情况下利用这一论点置身度外。	连一场辩论 — — 甚至是一些证据 — — 都涉及到“反恐战争”是否实际增加了恐怖行为威胁的问题。 德国人肯定使用这一推理尽可能置身事外。
This stance, however, has not prevented the spread of something for which a German word is used in other languages, too: Angst . A diffuse anxiety is gaining ground.	但是，这一立场并没有防止德语中所说的忧虑的扩散。一种弥散性的焦虑正在扩大。人们感到不安，特别是在旅行的时候。任何一个火车事故或者飞机坠毁现在都首先被怀疑是恐怖主义行为。	并不妨碍传播德文用于其他语言的东西:Angst.
While terrorism is fought in the name of democracy, the fight has in fact led to a distinct weakening of democracy, owing to official legislation and popular angst. One of the worrying features of the 9/11 attacks is that it is hard to see their purpose beyond the perpetrators’ resentment of the West and its ways.	这样，9/11已经直接或间接地意味着一个巨大的震惊事件，在心理上以及对于政治体系而言都是如此。尽管以民主的名义与恐怖主义作战，实际上这一斗争由于官方的立法以及民众的忧虑而已经导致对民主明显的削弱。9/11攻击的令人担忧的特性之一就是除了罪犯们仇恨西方及其生活方式之外，很难看到他们的目的。但是西方社会的主要特征，即民主和法治却已经在捍卫者手中遭到了严重的损害，其程度超过远远超过其攻击者。	恐怖主义以民主为名而战,但事实上由于官方立法和民众愤怒而导致民主明显削弱。 9/11攻击的一个令人担忧特征是很难看清目的超出肇事者对西方及其方式的憎恨
First, we must make certain that the relevant legislation to meet the challenge of terrorism is strictly temporary. Some of today’s restrictions on habeas corpus and civil liberties have sunset clauses restricting their validity; all such rules should be re-examined by parliaments regularly.	最重要的是，需要采取两个步骤来在受到9/11后果影响的民主国家恢复对自由的信心。首先，我们必须确保应对恐怖主义挑战的相关立法是严格具有时限的。当今的某些对人身自由以及民权的限制含有限制其时效的废止条款。所有这些法规都应当定期接受议会的重新审查。	第一,我们必须确定应对恐怖主义挑战的相关立法严格是临时性的。 当今对人身保护令和公民自由的一些限制有日落条款限制其有效性;所有这类规则应该由议会定期重新审查。
The terrorists with whom we are currently at “war” cannot win, because their dark vision will never gain broad popular legitimacy. That is all the more reason for democrats to stand tall in defending our values – first and foremost by acting in accordance with them.	第二，也是更为重要的是，我们的领导人应当力求平息、而不是利用公众的焦虑。我们目前“交战”的恐怖分子无法获胜，因为他们的黑暗的观点永远不会赢得广泛的公众合法认可。这也就是民主派人士应当身先士卒、首要地以遵循我们的价值观的方式来捍卫它们的原因。	与我们目前所处“战争”的恐怖分子无法取胜,因为他们的黑暗视觉永远不会获得广大民众合法性。 民主者更有理由站出来维护我们的价值观 — — 首先是按他们的手法行事。
9/11 in Perspective	9·11：十年后的盘点	911透视
NEW YORK – It was a decade ago that 19 terrorists took control of four planes, flew two into the twin towers of the World Trade Center, hit the Pentagon with a third, and crashed the fourth in a field in Pennsylvania after passengers resisted and made it impossible for the terrorists to complete their malevolent mission. In a matter of hours, more than 3,000 innocent people, mostly Americans, but also people from 115 other countries, had their lives suddenly and violently taken from them.	纽约——十年前，19名恐怖分子劫持了四架民航客机，其中两架撞上世贸中心双子塔，第三架撞击了五角大楼，第四架在乘客的反抗下无法完成袭击，坠毁于宾夕法尼亚旷野。只不过几个小时，3000多无辜平民被突如其来的暴行夺去了生命，其中大多是美国人，但也有来自其他115个国家的人。	纽约 — — 十年前,19名恐怖分子控制四架飞机,两架飞入世贸中心双塔,三角大楼,第四架坠机后宾夕法尼亚州田间,乘客反抗,使恐怖分子无法完成恶意任务。 数小时后,3000多无辜者(多为美国人,多为115个其他国家的人民)突然暴力夺去生命。
September 11, 2001, was a terrible tragedy by any measure, but it was not a historical turning point. It did not herald a new era of international relations in which terrorists with a global agenda prevailed, or in which such spectacular terrorist attacks became commonplace.	2001年9月11日，以任何标准看都是一个可怕的惨剧，但它并非一个历史转折点。它并未开启一个由全球恐怖主义主导国际关系的新时代，类似的大规模恐怖袭击也没有变成家常便饭。虽然人们在“全球反恐战争”上投注了大量精力，但是过去10年最重要的进展是信息技术的创新与传播、全球化、伊拉克与阿富汗战争以及中东的政治动荡。	2001年911事件无论如何都是一种可怕的悲剧,但它不是一个历史转折点,它没有预示国际关系新纪元,在这个新纪元里,拥有全球议程的恐怖分子占上风或如此壮观的恐怖袭击成为司空见惯之地。
As for the future, it is much more likely to be defined by the United States’ need to put its economic house in order; China’s trajectory within and beyond its borders; and the ability of the world’s governments to cooperate on restoring economic growth, stemming the spread of nuclear weapons, and meeting energy and environmental challenges.	未来一个阶段的关键，则是美国整修其经济大厦的努力，中国在国内国际事务中的走向，各国政府在重振经济增长、控制核扩散以及应对能源与环境挑战方面的合作能力。	未来更可能由美国需要整顿经济体系;中国边界内外轨迹;世界政府合作恢复经济增长、阻止核武器扩散以及应对能源和环境挑战的能力来定义。
They can destroy but not create. It is worth noting that the people who went into the streets of Cairo and Damascus calling for change were not shouting the slogans of Al Qaeda or supporting its agenda.	如果把反对恐怖主义当成负责任的政府在世界上的核心要务，这是错误的。恐怖主义仍是边缘角色，它们的吸引力终归是有限的。它们只破坏，不建设。值得注意的是，人们走上开罗和大马士革街头，呼喊的并不是基地组织的口号，也没有对它的纲领表示支持。	发自开罗和大马士革街头要求改变的人不是高呼基地组织口号或支持其议程
Borders have been made more secure and societies more resilient. International cooperation has increased markedly, in part because governments that cannot agree on many things can agree on the need to cooperate in this area.	此外，种种措施已经成功地令恐怖分子退入守势。情报资源已重新配置，国境线已变得更安全，社会已变得更有弹性。反恐国际合作显著增强，部分是因为，各国政府都觉得需要在这一领域加强合作，尽管它们在其他领域颇有分歧。	边界安全性提高,社会恢复能力提高。 国际合作显著增强,部分因为政府无法就多事达成一致可以就合作需求达成一致
Drones – unmanned aircraft that are remotely steered – have proven to be effective in killing a significant number of terrorists, including many of the most important leaders. Weak governments can be made stronger; governments that tolerate or support terrorism must be held accountable.	军事力量也扮演着某种角色。基地组织丧失了位于阿富汗的巢穴，正式因为向它提供庇护的塔利班政府被推翻。奥萨马·本·拉登最终被美国特种部队找到并击毙。军事无人机在击毙恐怖组织头目的行动中作用非凡。软弱的政府可以得到加强，纵容乃至支持恐怖主义的政府则必须为此负责。	无人机远程导航证明有效杀大批恐怖分子,包括许多最重要的领导人。 弱政府可以变强;容忍或支持恐怖主义的政府必须承担责任
Terrorists and terrorism cannot be eliminated any more than we can rid the world of disease. There will always be those who will resort to force against innocent men, women, and children in pursuit of political goals.	但进展不应被称作胜利。恐怖分子和恐怖主义不可能根除，就像我们不可能从地球上消灭疾病一样。总会有人试图对无辜者动用武力以追求其政治目标，不论是对男人、妇女还是儿童。	恐怖分子和恐怖主义无法消除,只能消除世界疾病。 总会有人对无辜男女老幼诉诸武力以追求政治目标。
Pakistan remains a sanctuary for Al Qaeda and some of the world’s other most dangerous terrorists. A mixture of instability, government weakness, and ideology in countries such as Yemen, Libya, Somalia, and Nigeria are providing fertile territory for terrorists to organize, train, and mount operations – much as they did in Afghanistan did a decade ago.	事实上，恐怖分子在某些领域走在了前头。巴基斯坦仍在为基地组织和世界上其他一些最危险的恐怖分子提供庇护所。由于局势动荡、政府软弱和意识形态等等原因，也门、利比亚、索马里和尼日利亚也在沦为恐怖主义滋生的沃土，它们在那些地方组织、训练、实施行动，就像在十年前的阿富汗一样。旧的组织刚被摧毁，新的组织就冒出头来。	巴基斯坦仍然是基地组织和世界其他最危险的恐怖分子的避风港。 也门、利比亚、索马里和尼日利亚等国家不稳定、政府弱小和思想混合体为恐怖分子组织、训练并展开行动提供肥沃领土 — — 与十年前在阿富汗所做的一样。
We have seen it in Great Britain and the US. The Internet, one of the great inventions of the modern Western world, has shown itself to be a weapon that can be used to incite and train those who wish to cause harm to that world.	本土恐怖主义的危险也在增长。我们在英国和美国都看到了这种迹象。互联网，这一现代西方世界的伟大发明，也被当成武器，激励并训练那些试图危害这个世界的人。	英国和美国都看到了它。 互联网是现代西方世界的伟大发明之一,它证明自己是可用于煽动和训练那些想对世界造成损害者的武器。
